endereço_casa,preco_casa,metros_casa,quartos_casa,banheiros_casa,vagas_casa
 Residencial Porto Seguro,480000.0,85,2,2,2
 Jardim Elizabeth,645000.0,105,3,2,2
 Urb Salto de São José,950000.0,132,2,2,2
 Residencial Lagos D Icaraí ,320000.0,380,4,6,2
 Village Moutonnee,1350000.0,178,3,2,2
 Jardim D'icarai,1150000.0,130,3,1,2
 Residencial Lagos D Icaraí ,270000.0,183,3,2,4
 CONDOMINIO ZULEIKA JABOUR,1499999.0,360,4,5,2
 SP,300000.0,219,3,2,2
 Jardim das Nações,320000.0,180,3,2,2
 SP,650000.0,300,4,3,4
 Village Moutonnee,415000.0,308,3,4,2
 Jardim Santa Marta,1590000.0,164,3,3,4
 Loteamento Jardim das Constelacoes,750000.0,100,2,2,2
 SP,1060000.0,199,3,3,2
 Residencial São Bento,760000.0,124,3,3,4
 Buru,475000.0,290,3,4,2
 SP,700000.0,110,3,2,2
 Jardim Nair Maria,1562000.0,317,5,4,4
 SP,913000.0,163,3,3,2
 CONDOMINIO ZULEIKA JABOUR,550000.0,132,2,3,2
 SP,435000.0,105,3,2,4
 Residencial Primavera,950000.0,35,1,1,2
 Jardim Saltense,6000.0,50,2,1,2
 Residencial São Gabriel,1100000.0,198,3,3,2
 Village Moutonnee,210000.0,113,3,3,2
 Jardim Panorama,1650000.0,124,3,2,2
 SP,645000.0,206,3,3,2
 Loteamento Terras de Sao Pedro e Sao Paulo,380000.0,180,2,2,18
 Jardim Elizabeth,730000.0,100,2,1,2
 Jardim Panorama,165000.0,363,4,4,4
 Residencial Porto Seguro,180000.0,395,3,4,3
 Jardim Elizabeth,480000.0,100,2,1,1
 Urb Salto de São José,645000.0,80,2,1,2
 Residencial Lagos D Icaraí ,950000.0,320,4,6,4
 Village Moutonnee,320000.0,125,3,2,2
 Jardim D'icarai,1350000.0,85,2,2,2
 Residencial Lagos D Icaraí ,1150000.0,105,3,2,2
 CONDOMINIO ZULEIKA JABOUR,270000.0,132,2,2,2
 SP,1499999.0,380,4,6,2
 Jardim das Nações,300000.0,178,3,2,2
 SP,320000.0,130,3,1,2
 Village Moutonnee,650000.0,183,3,2,4
 Jardim Santa Marta,415000.0,360,4,5,2
 Loteamento Jardim das Constelacoes,1590000.0,219,3,2,2
 SP,750000.0,180,3,2,2
 Residencial São Bento,1060000.0,300,4,3,4
 Buru,760000.0,308,3,4,2
 SP,475000.0,164,3,3,4
 Jardim Nair Maria,700000.0,100,2,2,2
 SP,1562000.0,199,3,3,2
 CONDOMINIO ZULEIKA JABOUR,913000.0,124,3,3,4
 SP,550000.0,290,3,4,2
 Residencial Primavera,435000.0,110,3,2,2
 Jardim Saltense,950000.0,317,5,4,4
 Residencial São Gabriel,6000.0,163,3,3,2
 Village Moutonnee,1100000.0,132,2,3,2
 Jardim Panorama,210000.0,105,3,2,4
 SP,1650000.0,35,1,1,2
 Loteamento Terras de Sao Pedro e Sao Paulo,645000.0,50,2,1,2
 Jardim Elizabeth,380000.0,198,3,3,2
 Jardim Panorama,730000.0,113,3,3,2
 Residencial Porto Seguro,165000.0,124,3,2,2
 Jardim Elizabeth,180000.0,206,3,3,2
 Urb Salto de São José,480000.0,180,2,2,18
 Residencial Lagos D Icaraí ,645000.0,100,2,1,2
 Village Moutonnee,950000.0,363,4,4,4
 Jardim D'icarai,320000.0,395,3,4,3
 Residencial Lagos D Icaraí ,1350000.0,100,2,1,1
 CONDOMINIO ZULEIKA JABOUR,1150000.0,80,2,1,2
 SP,270000.0,320,4,6,4
